dash,kick_to_goal,model,turn+40,turn-40,turn_ball
2480,70,krislet_supervisor2_knn,129,0,972
1595,472,krislet_weightedKNN,77,0,1421
2599,69,krislet_supervisor_knn,111,0,791
2369,208,krislet_agent_knn,169,0,768
2568,83,krislet_WeightedKNN,163,0,866
2596,75,krislet_expert_TB,121,0,928
2456,51,krislet_agent_TB,145,0,1040
2571,77,krislet_expert_Nordered,115,0,942
2556,213,krislet_agent_Nordered,166,0,739
2632,43,krislet_expert_Weighted,130,0,800
268,22,krislet_agent_Weighted,329,0,2622
2565,82,switch_expert_TB,86,17,897
1741,212,switch_agent_TB,382,267,701
2728,37,switch_expert_Nordered,94,16,770
364,16,switch_agent_Nordered,50,29,2738
2735,99,offense_expert_TB,181,0,844
2662,172,offense_agent_TB,157,0,886
2669,37,offense_expert_Nordered,162,0,728
495,14,offense_agent_Nordered,29,0,2691
2470,53,pro_expert_TB,117,4,933
2438,104,pro_agent_TB,93,7,953
2583,37,pro_expert_Nordered,109,7,905
307,2,pro_agent_Nordered,30,0,3368
2563,75,goal_expert_TB,81,27,891
1989,268,goal_agent_TB,59,36,1298
2791,36,goal_expert_Nordered,40,39,756
142,19,goal_agent_Nordered,2,1,3009
2614,66,progoal_expert_TB,47,38,990
2212,82,progoal_agent_TB,249,147,879
2673,39,progoal_expert_Nordered,52,42,857
113,11,progoal_agent_Nordered,9,0,3328
2692,37,switch_expert_Nordered_no_dagger,92,22,813
161,1,switch_agent_Nordered_no_dagger,547,562,1791
2350,257,switch_agent_TB_no_dagger,34,78,876
2721,54,switch_expert_TB_no_dagger,72,22,869
265,7,switch_agent_Weighted_no_dagger,551,538,1610
2573,37,switch_expert_Weighted_no_dagger,66,23,896
1014,14,offense_agent_Weighted_no_dagger,74,0,2396
2718,37,offense_expert_Weighted_no_dagger,160,0,707
2639,43,offense_expert_Nordered_no_dagger,172,0,765
2298,7,offense_agent_Nordered_no_dagger,266,0,804
2581,72,offense_expert_TB_no_dagger,154,0,791
2273,334,offense_agent_TB_no_dagger,137,0,881
